itemid,views,purchases,margin_per_unit,view_to_buy,expected_extra_purchases_A,recovered_margin_A,expected_extra_purchases_B,recovered_margin_B,expected_extra_purchases_C,recovered_margin_C
187946,3410.0,0.0,20.330000000000002,0.0001,95.93241449828922,1950.30598675022,0.17050000000000004,3.4662650000000013,223.4688915342108,4543.122564890506
5411,2325.0,0.0,38.57,0.0001,65.40846443065173,2522.8044730902375,0.11625000000000002,4.483762500000001,152.3651533187801,5876.723963505348
237021,302.0,0.0,47.870000000000005,0.0001,8.496067207766377,406.7067372357765,0.015100000000000002,0.7228370000000002,19.79108658162219,947.3993146622543
33182,309.0,0.0,46.83,0.0001,8.692995917880166,407.09299883432817,0.015450000000000004,0.7235235000000001,20.24982037656045,948.2990882343258
425186,513.0,0.0,39.91,0.0001,14.432061184053481,575.9835618555744,0.025650000000000006,1.0236915000000002,33.61863382904696,1341.7196761172643
135900,306.0,0.0,43.809999999999995,0.0001,8.608597899259971,377.1426739665793,0.015300000000000003,0.670293,20.053220178729767,878.531576030151
221084,118.0,0.0,47.11,0.0001,3.3196553990610345,156.38896584976533,0.005900000000000001,0.27794900000000006,7.7329411146735705,364.2988559122719
450336,107.0,0.0,47.059999999999995,0.0001,3.01019599745365,141.65982364016875,0.005350000000000001,0.251771,7.012073722627729,329.9881893868609
32843,316.0,0.0,42.410000000000004,0.0001,8.889924627993956,377.02170347322374,0.0158,0.6700780000000002,20.708554171498715,878.2497824132606
58693,142.0,0.0,45.07000000000001,0.0001,3.994839548022601,180.04741842937864,0.007100000000000001,0.3199970000000001,9.305742697319042,419.40982336816927
231243,565.0,0.0,36.440000000000005,0.0001,15.894960173470208,579.2123487212544,0.028250000000000004,1.0294300000000003,37.026370591445485,1349.2409443522736
17114,542.0,0.0,36.69,0.0001,15.247908697382039,559.445770106947,0.027100000000000006,0.9942990000000002,35.51910240807691,1303.1958673523418
431310,148.0,0.0,43.44,0.0001,4.163635585262992,180.86832982382435,0.007400000000000001,0.321456,9.69894309298041,421.322087959069
445394,109.0,0.0,43.77,0.0001,3.066461343200447,134.21901299188357,0.005450000000000001,0.23854650000000005,7.143140521181518,312.65526061211506
238995,133.0,0.0,43.05,0.0001,3.7416454921620135,161.07783843757466,0.006650000000000001,0.28628250000000005,8.71594210382699,375.2213075697519
238132,144.0,0.0,42.60999999999999,0.0001,4.051104893769398,172.617579523514,0.0072000000000000015,0.306792,9.436809495872833,402.10245261914133
