itemid,views,add_to_cart,purchases,view_to_cart,cart_to_buy,view_to_buy,price,cost,margin_per_unit,gross_margin,erosion_flag
187946,3410.0,2.0,0.0,0.0005865102639296188,0.0,0.0,49.96,29.63,20.330000000000002,0.0,1
461686,2539.0,306.0,133.0,0.12051988972036234,0.434640522875817,0.05238282788499409,96.06,81.32,14.740000000000009,1960.4200000000012,0
5411,2325.0,9.0,0.0,0.003870967741935484,0.0,0.0,78.56,39.99,38.57,0.0,1
370653,1854.0,0.0,0.0,0.0,0.0,0.0,67.89,48.29,19.6,0.0,1
219512,1740.0,48.0,12.0,0.027586206896551724,0.25,0.006896551724137931,32.48,23.74,8.739999999999998,104.87999999999998,0
298009,1642.0,0.0,0.0,0.0,0.0,0.0,32.48,24.06,8.419999999999998,0.0,0
96924,1633.0,0.0,0.0,0.0,0.0,0.0,24.65,13.36,11.29,0.0,1
309778,1565.0,48.0,15.0,0.030670926517571886,0.3125,0.009584664536741214,89.29,73.98,15.310000000000002,229.65000000000003,1
257040,1531.0,89.0,27.0,0.0581319399085565,0.30337078651685395,0.017635532331809273,68.09,38.36,29.730000000000004,802.7100000000002,0
384302,1528.0,65.0,15.0,0.04253926701570681,0.23076923076923078,0.00981675392670157,76.65,55.03,21.620000000000005,324.30000000000007,1
335975,1428.0,0.0,0.0,0.0,0.0,0.0,21.65,12.51,9.139999999999999,0.0,0
111530,1397.0,39.0,11.0,0.02791696492483894,0.28205128205128205,0.007874015748031496,97.59,59.29,38.300000000000004,421.30000000000007,1
441668,1389.0,33.0,11.0,0.023758099352051837,0.3333333333333333,0.007919366450683946,86.6,59.86,26.739999999999995,294.13999999999993,1
7943,1346.0,97.0,46.0,0.07206537890044576,0.4742268041237113,0.03417533432392273,36.99,23.89,13.100000000000001,602.6,0
320130,1333.0,141.0,33.0,0.10577644411102775,0.23404255319148937,0.024756189047261814,34.55,19.21,15.339999999999996,506.21999999999986,0
151444,1230.0,0.0,0.0,0.0,0.0,0.0,34.67,19.41,15.260000000000002,0.0,1
234255,1214.0,77.0,16.0,0.06342668863261944,0.2077922077922078,0.013179571663920923,44.34,28.66,15.680000000000003,250.88000000000005,0
190000,1164.0,47.0,20.0,0.040378006872852236,0.425531914893617,0.01718213058419244,61.98,47.42,14.559999999999995,291.19999999999993,0
142466,1135.0,1.0,0.0,0.000881057268722467,0.0,0.0,54.56,44.42,10.14,0.0,1
37029,1131.0,71.0,25.0,0.0627763041556145,0.352112676056338,0.022104332449160036,43.3,22.92,20.379999999999995,509.4999999999999,0
369447,1103.0,80.0,31.0,0.07252946509519492,0.3875,0.028105167724388033,68.95,43.96,24.990000000000002,774.69,0
112782,1094.0,24.0,8.0,0.021937842778793418,0.3333333333333333,0.007312614259597806,31.16,16.67,14.489999999999998,115.91999999999999,1
65273,1076.0,64.0,13.0,0.05947955390334572,0.203125,0.012081784386617101,43.37,21.94,21.429999999999996,278.59,0
434782,1069.0,0.0,0.0,0.0,0.0,0.0,49.31,36.07,13.240000000000002,0.0,1
9877,1067.0,70.0,25.0,0.06560449859418932,0.35714285714285715,0.023430178069353328,56.49,40.15,16.340000000000003,408.5000000000001,0
315543,1043.0,46.0,14.0,0.04410354745925216,0.30434782608695654,0.013422818791946308,82.81,46.13,36.68,513.52,0
161623,1039.0,27.0,6.0,0.02598652550529355,0.2222222222222222,0.005774783445620789,35.97,20.93,15.04,90.24,1
91755,1024.0,0.0,0.0,0.0,0.0,0.0,61.14,31.08,30.060000000000002,0.0,1
102306,1013.0,0.0,0.0,0.0,0.0,0.0,67.39,53.39,14.0,0.0,1
400946,1001.0,32.0,6.0,0.03196803196803197,0.1875,0.005994005994005994,23.72,19.95,3.7699999999999996,22.619999999999997,0
350629,995.0,21.0,3.0,0.021105527638190954,0.14285714285714285,0.003015075376884422,68.6,37.55,31.049999999999997,93.14999999999999,0
48030,986.0,95.0,41.0,0.09634888438133875,0.43157894736842106,0.04158215010141988,33.64,19.55,14.09,577.6899999999999,0
354233,983.0,24.0,1.0,0.024415055951169887,0.041666666666666664,0.001017293997965412,25.2,20.26,4.939999999999998,4.939999999999998,0
29100,982.0,0.0,0.0,0.0,0.0,0.0,95.91,79.06,16.849999999999994,0.0,0
312728,947.0,162.0,46.0,0.17106652587117213,0.2839506172839506,0.048574445617740235,97.25,62.91,34.34,1579.64,0
445351,939.0,89.0,45.0,0.09478168264110756,0.5056179775280899,0.04792332268370607,84.67,43.84,40.83,1837.35,0
290999,928.0,32.0,12.0,0.034482758620689655,0.375,0.01293103448275862,44.37,22.8,21.569999999999997,258.84,0
29196,912.0,136.0,19.0,0.14912280701754385,0.13970588235294118,0.020833333333333332,27.81,19.49,8.32,158.08,0
133907,909.0,29.0,10.0,0.0319031903190319,0.3448275862068966,0.011001100110011002,74.74,47.65,27.089999999999996,270.9,0
241555,907.0,40.0,13.0,0.044101433296582136,0.325,0.014332965821389196,55.21,28.16,27.05,351.65000000000003,0
455183,904.0,44.0,11.0,0.048672566371681415,0.25,0.012168141592920354,29.76,20.96,8.8,96.80000000000001,0
341482,884.0,5.0,1.0,0.005656108597285068,0.2,0.0011312217194570137,59.61,30.04,29.57,29.57,0
133814,874.0,28.0,5.0,0.032036613272311214,0.17857142857142858,0.005720823798627002,22.75,17.65,5.100000000000001,25.500000000000007,0
315545,874.0,20.0,11.0,0.02288329519450801,0.55,0.012585812356979404,92.75,56.32,36.43,400.73,0
441852,860.0,90.0,27.0,0.10465116279069768,0.3,0.031395348837209305,40.7,20.92,19.78,534.0600000000001,0
84160,856.0,6.0,5.0,0.007009345794392523,0.8333333333333334,0.005841121495327103,73.0,51.53,21.47,107.35,0
12217,839.0,44.0,13.0,0.052443384982121574,0.29545454545454547,0.015494636471990465,44.94,28.72,16.22,210.85999999999999,0
393028,825.0,22.0,4.0,0.02666666666666667,0.18181818181818182,0.0048484848484848485,61.61,51.8,9.810000000000002,39.24000000000001,0
247909,824.0,32.0,5.0,0.038834951456310676,0.15625,0.006067961165048544,63.74,44.01,19.730000000000004,98.65000000000002,0
303715,810.0,28.0,9.0,0.0345679012345679,0.32142857142857145,0.011111111111111112,34.79,20.75,14.04,126.35999999999999,0
303828,801.0,23.0,6.0,0.02871410736579276,0.2608695652173913,0.00749063670411985,97.57,73.01,24.559999999999988,147.35999999999993,0
420960,796.0,60.0,38.0,0.07537688442211055,0.6333333333333333,0.04773869346733668,82.01,48.8,33.21000000000001,1261.9800000000002,0
225778,768.0,0.0,0.0,0.0,0.0,0.0,95.16,77.7,17.459999999999994,0.0,0
109618,764.0,0.0,0.0,0.0,0.0,0.0,91.59,57.8,33.790000000000006,0.0,0
158666,764.0,68.0,9.0,0.08900523560209424,0.1323529411764706,0.011780104712041885,67.83,46.97,20.86,187.74,0
394678,762.0,10.0,3.0,0.013123359580052493,0.3,0.003937007874015748,93.75,48.53,45.22,135.66,0
209994,753.0,0.0,0.0,0.0,0.0,0.0,27.08,17.58,9.5,0.0,0
119736,752.0,44.0,97.0,0.05851063829787234,2.2045454545454546,0.12898936170212766,35.68,28.23,7.449999999999999,722.65,0
232509,746.0,0.0,0.0,0.0,0.0,0.0,23.62,18.47,5.150000000000002,0.0,0
266900,746.0,36.0,12.0,0.04825737265415549,0.3333333333333333,0.0160857908847185,46.03,26.63,19.400000000000002,232.8,0
359491,736.0,0.0,0.0,0.0,0.0,0.0,51.09,29.59,21.500000000000004,0.0,0
231482,734.0,39.0,12.0,0.05313351498637602,0.3076923076923077,0.01634877384196185,41.71,32.78,8.93,107.16,0
